label,text
2,lan nabarmendu eduki bakea demokrazia eta euskal gizartearen ondozatea lortzeko
2,iraila bozkatu izango izan herri gisa eta gizarte gisa aurrera egitea
2,gogo eta aldaketarako itxaropena tilosetan
2,bilduren bozkatu kasko balio du eta irudi txirrindularia kaskoaz nahita egin
1,milioi euro enplegu plana abian jarri duela hitzeman die gazte gazteriari
2,gutxieneko pentsioa eta haur eta nerabeentzako errenta proposatzen ditu
2,ondarrutar arrazoi bozkatu
2,besteen oso gainetiknmoderatzailearena zoritxarrez jakinekoa zennsubalternitatetik arituta ez izan eztabaidarik irabaz
1,hauteskunde emaitzak zba froga eserlekuak
1,kanpain talde bezala bart lehendakari hizpide deseroso uztearrenedo
0,lehen hilabeteetan alokabidek etxe hau izan
2,urte helburu gisa ezarri eduki urte beherako euskaldunak izan daitezela
0,urte bete joan izan
1,eserlekuko ezberdintasun eta ehbilduren artean
1,hauteskunde emaitzak bizkaia zba froga eserlekuak
1,lirateke eta egin proposamen kontutan hartuko bagenu
1,hauteskunde emaitzak araba zba froga eserlekuak
1,urte gorako tartea eta beretzat gotorleku
2,zer indarra adierazten duen argazki honek harrokeria barik baina harrotasun nik
0,zer lotsa eta ikasgelara mesedez
2,abadiñon jotake lan herri guztia proposamen konbetzitzeko borrokatzera goaz
0,urte berri bat
0,adi konartu eta justifikatu egin du ertzainek torturatu izana ikusi bideo torturatzailean
1,adierazgarria oso
1,gendez bete
2,agiak ez ditu helburuak bete mantra bat izan beraz rgia lortzeko baldintzak gogortu ziren eta agia beharrezkoa
2,oso ona iruditu zait
0,ingelesak kezkatzen du
1,aht lotsagabe bultzatzea leporatu diete eta elkar
0,barkatu zuena euskara askatasunean izan castellanoa erabiltzen bada zuek pozik
2,ailegatzen hasi dira bozkatu etxe
0,aita lagundu ez dakit azaltzen
2,azken zinta eduki ageri duelako baina mundiala izan
0,akelarre
1,akordio konkista sozialen alde daudenekin errazago iraganeko eztabaidetan daudenekin zail
0,sistemari ez dio interesatzen
0,alabak ezin ulertu nola den posible erraustegiaren arriskua ikusi eta bozkatu erantzun aldaketaren beldurrak mirabe egiten gaitu
0,alardea antolatzen beraz udala izan erantzun nagusia baina udala oso eroso dago konfrontazio honekin
0,albergera bidaltzen dute errekutsoak baditu jauna
0,alde kale egiten badu zein izan hurrengo urratsa erantzun ez
1,alde garaia lehendakari alde garaia urku
0,ale heldu izan neurri izarra polizia fiskalanbegira polizia lar eduki herri honetan emakume
1,bizkaia bozeramailea izen
2,algortako gazte ere argi eduki gure bozkatu eta kanpain zehar ere erakutsiko eduki
2,algortan gazte argi eduki
1,alkartasun egun gaur
0,esan bakar ez egin ere egiten du neoliberalismoak ez du mugarik
0,nazionalismoaren zentralizazioaz eta foruen defentsaz euskara gabeko aukera berdintasunaz
2,alons oso polit izan
2,amaitutzat emiten degu kanpain indarrekin ideia argieekin
0,andaluziar bezala euskara maite duten bere bideo nazkagarria iruditu zait
0,anderea errespetu askoz baina iruñ bisitatzea gaizki ez legoke eta ez san ferminetan
2,animo eta aupa
2,anoetako ehbilduren ekitaldi borobila hauteskunde direla eta
