,label,text
0,2,lan nabarmendu eduki bakea demokrazia eta euskal gizartearen ondozatea lortzeko
1,2,iraila bozkatu izango izan herri gisa eta gizarte gisa aurrera egitea
2,2,gogo eta aldaketarako itxaropena tilosetan
3,2,bilduren bozkatu kasko balio du eta irudi txirrindularia kaskoaz nahita egin
4,1,milioi euro enplegu plana abian jarri duela hitzeman die gazte gazteriari
5,2,gutxieneko pentsioa eta haur eta nerabeentzako errenta proposatzen ditu
6,2,ondarrutar arrazoi bozkatu
7,2,besteen oso gainetiknmoderatzailearena zoritxarrez jakinekoa zennsubalternitatetik arituta ez izan eztabaidarik irabaz
8,1,hauteskunde emaitzak zba froga eserlekuak
9,1,kanpain talde bezala bart lehendakari hizpide deseroso uztearrenedo
10,0,lehen hilabeteetan alokabidek etxe hau izan
11,2,urte helburu gisa ezarri eduki urte beherako euskaldunak izan daitezela
12,0,urte bete joan izan
13,1,eserlekuko ezberdintasun eta ehbilduren artean
14,1,hauteskunde emaitzak bizkaia zba froga eserlekuak
15,1,lirateke eta egin proposamen kontutan hartuko bagenu
16,1,hauteskunde emaitzak araba zba froga eserlekuak
17,1,urte gorako tartea eta beretzat gotorleku
18,2,zer indarra adierazten duen argazki honek harrokeria barik baina harrotasun nik
19,0,zer lotsa eta ikasgelara mesedez
20,2,abadiñon jotake lan herri guztia proposamen konbetzitzeko borrokatzera goaz
21,0,urte berri bat
22,0,adi konartu eta justifikatu egin du ertzainek torturatu izana ikusi bideo torturatzailean
23,1,adierazgarria oso
24,1,gendez bete
25,2,agiak ez ditu helburuak bete mantra bat izan beraz rgia lortzeko baldintzak gogortu ziren eta agia beharrezkoa
26,2,oso ona iruditu zait
27,0,ingelesak kezkatzen du
28,1,aht lotsagabe bultzatzea leporatu diete eta elkar
29,0,barkatu zuena euskara askatasunean izan castellanoa erabiltzen bada zuek pozik
30,2,ailegatzen hasi dira bozkatu etxe
31,0,aita lagundu ez dakit azaltzen
32,2,azken zinta eduki ageri duelako baina mundiala izan
33,0,akelarre
34,1,akordio konkista sozialen alde daudenekin errazago iraganeko eztabaidetan daudenekin zail
35,0,sistemari ez dio interesatzen
36,0,alabak ezin ulertu nola den posible erraustegiaren arriskua ikusi eta bozkatu erantzun aldaketaren beldurrak mirabe egiten gaitu
37,0,alardea antolatzen beraz udala izan erantzun nagusia baina udala oso eroso dago konfrontazio honekin
38,0,albergera bidaltzen dute errekutsoak baditu jauna
39,0,alde kale egiten badu zein izan hurrengo urratsa erantzun ez
40,1,alde garaia lehendakari alde garaia urku
41,0,ale heldu izan neurri izarra polizia fiskalanbegira polizia lar eduki herri honetan emakume
42,1,bizkaia bozeramailea izen
43,2,algortako gazte ere argi eduki gure bozkatu eta kanpain zehar ere erakutsiko eduki
44,2,algortan gazte argi eduki
45,1,alkartasun egun gaur
46,0,esan bakar ez egin ere egiten du neoliberalismoak ez du mugarik
47,0,nazionalismoaren zentralizazioaz eta foruen defentsaz euskara gabeko aukera berdintasunaz
48,2,alons oso polit izan
49,2,amaitutzat emiten degu kanpain indarrekin ideia argieekin
50,0,andaluziar bezala euskara maite duten bere bideo nazkagarria iruditu zait
51,0,anderea errespetu askoz baina iruñ bisitatzea gaizki ez legoke eta ez san ferminetan
52,2,animo eta aupa 
53,2,anoetako ehbilduren ekitaldi borobila hauteskunde direla eta
54,2,apartheid mediatikoa izan oztoporik nagusienetarikoa
55,0,ara hezkuntza eta euskara ezin omen dira nahaztu baina hezkuntza eta ingelesa baina
56,2,aretan jende erronka konpromisu eta ilusio nagusi hautagaien solasaldian
57,2,aretoa txiki gelditu izan leioako campusean eta entzun
58,2,argi dago lehendakari bat debekatu beste irabaz ditugula nnbikain
59,0,argi esateko alde egiten du nabarmen kale entzundako zurrumurru faltsuei auspoa emanez
60,2,argi eta garbi diogu kalitatezko enplegu duina sortzea lehentasuna izan bildurentzat gainera badakigu nola egin
61,0,argi eta garbí horren bila doaz
62,2,argi eta garbinire aukera lehendakari
63,1,argi utzi nahi dut niretzat lehentasuna izan haztea eta enplegu sortzen laguntzea
64,1,argitaratu dut egin elkar presoak euskal herri dago
65,0,argituko diot oso erraz gure erkidegoan danberaz beste inposizio batn
66,1,izuragarria miribillan
67,1,zelan esango dut hori
68,1,arrosak eta eskuorriak banatu dituzte kideekn
69,0,askatasun eta berdintasun eremu bat euskal txirrindularitzan ez behintzat
70,0,askatasunaeuskaraz ala erderaz aukeratzea ez izan askatasuna euskara hitz egitea lanpostu bat lortzeko ez
71,2,asko dago egiteko baina badakigu zein den bidea
72,0,asko gara euskaldun atera garenak probatuko balu bideo kenduko luke
73,1,aste hontan azken saioak egin ditugu garoan eta ere
74,2,asteazken honetan iraila leioannnez huts egin etorri euskal etxe plazara
75,2,astelehen hilak hasiko eduki ekimena zatoz hautagaiarekin solastera
76,2,atzo ordezkatu nuen etbko eztabaidan pozik eskerrik asko asko bidalitako mezu guztiengatik oso ondo goaz denon artean
77,2,atzo euskara defentsa irmo eta eraiki egin zuen
78,2,atzoko ekitaldi osoa ikusgai dago ikusi indarrak hartu eta kale gazte
79,1,atzoko tuita gaur eibarren arratsalde etan untzaga plazan eta  
80,1,aukera askatasuna euskara ezagutza bermatu eta erabiltzeko aukera izatea izan
81,0,aupa ikastaro bereziak dituzu zure euskara maila hobea politakaria izatearren eko beherapenarekin
82,2,aupa madril gora euskadi askatuta
83,2,aupa zuek gora lautada gora eta
84,0,autogobernua lortzeko prozesuaren bideo ildoak markatuko duen premia sozialaren egiaztatze prozesuarenbarka galdu izan
85,0,autokritika rentzat besteek duten zeregina izan are gehiago eskuzabala izan eta zure berak ida
86,1,auzoko kide batzuk aspaldi dabiltzala aldaialderen alde lan barrutik eta era isilean
88,1,azken hiru minutu izango ditu hitzaldia osatu edo gainerako hautadaienari erantzun
